applicant_id,gender,married,dependents,education,employment_type,applicant_income,existing_emi,loan_amount,loan_term_months,credit_history,region,age,application_date,default_status
APP004913,Male,Yes,2,Graduate,Self-Employed,43510,767,398000,60,Good,South,39,20-06-2023,0
APP002130,Male,No,0,Not Graduate,Self-Employed,135336,10906,94000,180,Good,East,44,05-01-2024,0
APP003816,Male,Yes,0,Graduate,Salaried,93748,423,75000,36,Good,East,33,14-04-2024,0
APP002894,Female,No,0,Graduate,Salaried,77999,9687,207000,48,Good,South,40,18-07-2023,0
APP000446,Female,No,3,Graduate,Salaried,17692,4966,42000,360,Good,South,36,19-11-2023,0
APP001990,Female,Yes,2,Graduate,Salaried,89100,18451,125000,48,Good,West,50,15-01-2024,0
APP001137,Female,Yes,3,Graduate,Self-Employed,34221,9738,47000,240,Good,South,40,07-04-2024,0
APP001678,Male,No,1,Not Graduate,Self-Employed,54181,2305,140000,60,Good,North,55,15-02-2023,0
APP001515,Male,Yes,0,Graduate,Salaried,65879,2994,68000,60,No History,West,58,20-07-2023,0
APP001410,Female,Yes,4,Graduate,Self-Employed,47798,179,129000,24,Good,North,55,17-05-2024,0
APP004590,Female,Yes,0,Graduate,Self-Employed,39208,8223,113000,60,Good,West,21,17-12-2023,0
APP003717,Male,No,3,Graduate,Self-Employed,31805,10970,51000,120,Good,North,31,18-04-2023,0
APP000060,Male,No,1,Graduate,Salaried,39343,7211,60000,12,Good,North,29,14-03-2024,0
APP005957,Male,No,1,Graduate,Salaried,95443,12612,98000,120,Good,North,40,29-05-2023,0
APP005244,Female,Yes,0,Graduate,Salaried,36389,10789,100000,240,Good,South,47,11-08-2023,0
APP005428,Male,Yes,0,Graduate,Self-Employed,95478,22701,155000,48,Bad,South,37,05-08-2023,0
APP001812,Female,No,1,Not Graduate,Salaried,44462,5591,171000,360,Good,South,36,29-05-2023,0
APP004950,Female,Yes,1,Graduate,Salaried,22891,1919,252000,84,No History,West,55,07-09-2023,0
APP001356,Female,No,4,Graduate,Salaried,20925,3180,139000,360,Good,West,34,29-03-2024,0
APP004059,Female,Yes,2,Not Graduate,Salaried,15320,1179,88000,60,Bad,South,21,16-07-2023,1
APP000276,Male,No,2,Graduate,Salaried,64105,877,340000,180,Bad,South,27,03-12-2023,0
