applicant_id,gender,married,dependents,education,employment_type,applicant_income,existing_emi,loan_amount,loan_term_months,credit_history,region,age,application_date,default_status
APP004913,Male,Yes,2,Graduate,Self-Employed,43510.0,767.0,398000.0,60,1.0,South,39.0,2023-06-20,0
APP002130,Male,No,0,Not Graduate,self employed,135336.0,10906.0,94000.0,180,1.0,EAST,44.0,2024-01-05,0
APP003816,Male,Yes,0,Graduate,Salaried,93748.0,423.0,75000.0,36,1.0,EAST,33.0,2024-04-14,0
APP002894,Female,No,0,Graduate,Salaried,77999.0,9687.0,207000.0,48,1.0,South,40.0,2023-07-18,0
APP000446,Female,No,3,Graduate,Salaried,17692.0,4966.0,42000.0,360,1.0,South,36.0,2023-11-19,0
APP001990,Female,Yes,2,Graduate,salaried,89100.0,18451.0,125000.0,48,1.0,West,50.0,2024-01-15,0
APP001137,Female,Yes,3,Graduate,Self-Employed,34221.0,9738.0,47000.0,240,1.0,South,40.0,2024-04-07,0
APP001678,Male,No,1,Not Graduate,Self-Employed,54181.0,2305.0,140000.0,60,1.0,North,55.0,2023-02-15,0
APP001515,Male,Yes,0,Graduate,Salaried ,65879.0,2994.0,68000.0,60,,West,58.0,2023-07-20,0
APP001410,Female,Yes,4,Graduate,Self-Employed,47798.0,179.0,129000.0,24,1.0,North,55.0,2024-05-17,0
APP004590,Female,Yes,0,Graduate,SELF-EMPLOYED,39208.0,8223.0,113000.0,60,1.0,West,21.0,2023-12-17,0
APP003717,Male,No,3,Graduate,Self-Employed,31805.0,10970.0,51000.0,120,1.0,North,31.0,2023-04-18,0
APP000060,Male,No,1,Graduate,salaried,39343.0,7211.0,60000.0,12,1.0,north,29.0,2024-03-14,0
APP005957,Male,No,1,Graduate,Salaried ,95443.0,12612.0,98000.0,120,1.0,North,40.0,2023-05-29,0
APP005244,Female,Yes,0,Graduate,Salaried ,36389.0,10789.0,100000.0,240,1.0,South,47.0,2023-08-11,0
APP005428,Male,Yes,0,Graduate,self employed,95478.0,22701.0,155000.0,48,0.0,South,37.0,2023-08-05,0
APP001812,Female,No,1,Not Graduate,Salaried,44462.0,5591.0,171000.0,360,1.0,South,36.0,2023-05-29,0
APP004950,Female,Yes,1,Graduate,salaried,22891.0,1919.0,252000.0,84,,West,55.0,2023-09-07,0
APP001356,Female,No,4,Graduate,Salaried,20925.0,3180.0,139000.0,360,1.0,West,34.0,2024-03-29,0
APP004059,Female,Yes,2,Not Graduate,Salaried,15320.0,1179.0,88000.0,60,0.0,South,21.0,2023-07-16,1
APP000276,Male,No,2,Graduate,Salaried ,64105.0,877.0,340000.0,180,0.0,South,27.0,2023-12-03,0
APP004350,Female,No,1,Graduate,Self-Employed,118554.0,25348.0,47000.0,84,1.0,West,39.0,2024-05-11,0
